T1,T2,S1,S2,Draw,ELO1,ELO2,Prob1,Prob2
Ukraine,Belarus,3,1,0,1714,1559,0.7093546306,0.2906453694
Lithuania,Estonia,0,1,0,1417,1444,0.4612219079,0.5387780921
England,San Marino,6,0,0,1889,861,0.9973156901,0.0026843099
Sweden,Russia,0,1,0,1710,1670,0.5573116338,0.4426883662
Spain,Slovakia,2,0,0,1918,1735,0.741433523,0.258566477
Slovenia,Switzerland,2,3,0,1588,1776,0.2530870786,0.7469129214
Moldova,Austria,0,1,0,1326,1688,0.1106774863,0.8893225137
Liechtenstein,Montenegro,0,2,0,1166,1527,0.1112453544,0.8887546456
Iceland,Kazakhstan,0,0,1,1728,1395,0.871792578,0.128207422
Czech Republic,Latvia,2,1,0,#N/A,1456,#N/A,#N/A
Turkey,Netherlands,3,0,0,1790,1903,0.3428813135,0.6571186865
Wales,Israel,0,0,1,1725,1546,0.7369947605,0.2630052395
Azerbaijan,Malta,2,2,1,1368,1205,0.7187568299,0.2812431701
Norway,Croatia,2,0,0,1610,1826,0.2238454247,0.7761545753
Andorra,Bosnia & Herzegovina,0,3,0,939,#N/A,#N/A,#N/A
Cyprus,Belgium,0,1,0,1393,1924,0.0449298799,0.9550701201
Italy,Bulgaria,1,0,0,1919,1561,0.8870357269,0.1129642731
Armenia,Denmark,0,0,1,1499,1722,0.2169225566,0.7830774434
Poland,Gibraltar,8,1,0,1794,1079,0.983950073,0.016049927
Georgia,Rep. of Ireland,0,1,0,1461,#N/A,#N/A,#N/A
Scotland,Germany,2,3,0,1686,2033,0.1194664378,0.8805335622
Finland,Faroe Islands,1,0,0,1550,1203,0.8805335622,0.1194664378
North. Ireland,Hungary,1,1,1,#N/A,1695,#N/A,#N/A
Romania,Greece,0,0,1,1689,1592,0.6360768997,0.3639231003
Portugal,Albania,1,0,0,1874,1602,0.827178017,0.172821983
Serbia,France,1,2,0,1710,1953,0.1980033559,0.8019966441
Belarus,Luxembourg,2,0,0,1559,1213,0.879926688,0.120073312
Macedonia,Spain,0,1,0,1407,1918,0.0501372881,0.9498627119
Slovakia,Ukraine,0,0,1,1735,1714,0.53018468,0.46981532
England,Switzerland,2,0,0,1889,1776,0.6571186865,0.3428813135
Lithuania,San Marino,2,1,0,1417,861,0.9608565972,0.0391434028
Slovenia,Estonia,1,0,0,1588,1444,0.6961287704,0.3038712296
Russia,Liechtenstein,7,0,0,1670,1166,0.9479085507,0.0520914493
Moldova,Montenegro,0,2,0,1326,1527,0.239203909,0.760796091
Austria,Sweden,4,1,0,1688,1710,0.4683817022,0.5316182978
Rep. of Ireland,Germany,1,0,0,#N/A,2033,#N/A,#N/A
Gibraltar,Georgia,0,4,0,1079,1461,0.0998431327,0.9001568673
Poland,Scotland,2,2,1,1794,1686,0.6506046279,0.3493953721
Faroe Islands,Hungary,1,2,0,1203,1695,0.0556098168,0.9443901832
North. Ireland,Greece,3,1,0,#N/A,1592,#N/A,#N/A
Romania,Finland,1,1,1,1689,1550,0.6900062073,0.3099937927
Albania,Serbia,0,2,0,1602,1710,0.3493953721,0.6506046279
Portugal,Denmark,1,0,0,1874,1722,0.7057813597,0.2942186403
France,Armenia,4,0,0,1953,1499,0.9317211857,0.0682788143
Macedonia,Ukraine,0,2,0,1407,1714,0.1458866381,0.8541133619
Slovenia,Lithuania,1,1,1,1588,1417,0.7279715135,0.2720284865
Belarus,Slovakia,1,0,0,1559,1735,0.2663662976,0.7336337024
Spain,Luxembourg,4,0,0,1918,1213,0.9830152078,0.0169847922
